bugbuspiano,Bug Bus Piano,"Misic | Painter | One of members of carriswheel, Quay, etc",music,people
emeraldclitoris,エメラルドクリトリス,"ゼキ・ぎぼん正造・小幡健太郎・ディナミシャイスケの4人から成る総合アートポッセ",art,group
weather,船川翔司,"天気に関しての製作を続け、天気を題材とした人生を歩むこと",art,people
jjjjjjj,Joseph Torres,"artist new york city",art,people
pocopuu,小林椋,"Artist | 正直 SHOJIKI",art,people
matsunobe,松延総司,"美術家 | Artist",art,people
roombaghost,Laurel Schwulst,"human drinking water living in NYC",art,people
npanzer,Natalia Panzer,"Artist | Poet | Writer",art,people
takamitsuohta,Takamitsu Ohta,"graphic/bookdesign/sound/installation",art,people
reijisaito,斎藤玲児,"映像作家 | video artist",art,people
sarahmarshall,Sarah Marshall,"artists based in New York",art,people
woopheadclrms,woopheadclrms,"Hiroki Yamasaki",music,people
010001111000,010001111000,"010001111000 | 0100011110001",music,people
