"BnA Alter Museum",kyoto,art,31の泊まれるアート作品、高さ30メートルの縦型ギャラリー、世界に広がるコミュニティーと心地よい音楽。そこは美術館でもホテルでもない実験と発信の場、宿泊型ミュージアム,https://bnaaltermuseum.com/
iTohen,osaka,book,梅田（大阪）から少し離れた本庄西にあるギャラリーと本とコーヒーのお店,http://itohen.info/
"VOU / 棒",kyoto,curture,"京都の新しいカルチャーを牽引する、ギャラリー&ショップ 。アーティストのグッズやVOUオリジナルアイテムが販売されています。
",http://voukyoto.com/
琥珀,kansai,venue,紅茶と手作りケーキを英国風コテージでどうぞ♪古民家カフェ、アンティークギャラリー,https://www.instagram.com/antiques_kohaku/
DOMA,kyoto,curture,オーナーの「好き」が凝縮した、京都らしい雑貨店,http://www7a.biglobe.ne.jp/~doma/
"FOLK old bookstore",osaka,book,ジャンルレスな古書店（店内にカレー屋さんがある）,http://www.folkbookstore.com/
IACK,chubu,art,写真家の河野幸人のアトリエとして設立された、石川県金沢市のアーティスト・ラン・スペース,https://iack.studio/
新宿眼下画廊,tokyo,art,"新宿区にある現代美術を中心にしたギャラリー及びアートスペース。 現代アート、サブカルチャー、演劇の展覧会が多く開かれる。",https://www.gankagarou.com/
"Manila Books & Gift",chubu,book,愛知県名古屋市、海外のzine、グッズ類の専門店,https://www.instagram.com/manilabookgift
"本屋青旗 Ao-Hata Bookstore",kyushu,book,アートブックやZINE、プロダクトを中心に、視覚文化を基軸とした本屋として、2020年10月福岡市薬院新川沿いにオープン,https://aohatabooks.com/
札幌のブティック＋ギャラリー,,curture,"いつもはブティック、ときどきギャラリー。 北海道札幌市にある小さなお店",http://gumeegumee.com/
"Magazine isn't dead.",online,book,"独断と偏見で選ぶ、国内外のマニアックな雑誌に特化したオンラインストア「Magazine isn't dead.」。屋号は、かつてイギリスで発行されていた雑誌『Print isn't dead.』へのオマージュから命名",http://magazineisntdead.com/
"STANDARD BOOKSTORE",osaka,book,"本屋ですが、ベストセラーはおいてません。』 カフェと立ち飲みとギャラリーもあります！ 大阪市天王寺区堀越町8-16",http://www.standardbookstore.com/
BOOKNERD,tohoku,book,岩手県盛岡市のインディペンデントな本屋。店名の通り、『本オタク』の店主がキュレーターとなり、自らアメリカで買い付けてきた世界中のビジュアルブックや写真集、絵本や国内外の文学、エッセイをセレクト。,https://booknerd.stores.jp/
"石巻 まちの本棚",tohoku,book,宮城県石巻のまちなかから、本に関してのあらゆるコミュニケーションを実践,http://bookishinomaki.com/
模索舎,tokyo,book,東京都新宿　ミニコミ(自主流通出版)・少流通出版物の取り扱い書店,http://www.mosakusha.com/
