"2015.11.29 4:48pm-",#29NOV15SUN,"by 010001111000, Takamitsu Ohta, nekoxtupa, miyuki, 江崎將史, 水内義人 | at HOPKEN",http://vg.pe.hu/series/29NOV15SUN.jpg,d,link
"2016.04.24 3pm  -",桜ノ宮エクスプロージュン,"by fri珍, シンセ先輩 a.k.a CASIOトルコ温泉, L.A. Monte Yung, 天空戦記シェニト | at JR桜ノ宮駅すぐ源八橋の下",http://vg.pe.hu/show/explosion/sakuranomiya.html,c,link
"2016","hubba bumpa and momimomi po","by Dennis de Bel and Yoshihito Mizuuchi at Mrs.Triangle",,b,none
"2016.07.03 8pm-",#3JUL16SUN,"by H.TAKAHASHI, 7FO, OverScan, standard_grey, ootsusan, Joe Bastardo | at HOPKEN",http://vg.pe.hu/series/3JUL16SUN.html,d,link
"2016.12.26 8pm-",#26DEC16MON,"by Theodore Cale Schafer, Takamitsu Ohta | at chef-d'œuvre",http://vg.pe.hu/series/26DEC16MON.html,d,link
"2017.03.22","｣ ﾚ ｨ ﾉ ヾ ─ 廾 ｽ","by 川染喜弘 | 小林亮平 | emamouse | fri珍 | 脳BRAIN | 51.3 G-WAVE",http://vg.pe.hu/show/lv/,c,link
"2017.04.29 1pm-",#29APR17SAT,"by Mahesa Almeida, Mashu Oki, Yasuhide Uemura, Suwakazuya, Rockrototante | at FAITH",http://vg.pe.hu/series/29APR17SAT.html,d,link
"2017.05.20 6:30pm-",#20MAY17SAT,"by Kazumichi Komatsu, Takahiro Yamamoto, KeitaroTamura, Le makeup, La_reprise, Takashi Hattori | at HOPKEN",http://vg.pe.hu/series/20MAY17SAT.html,d,link
"2017.06.24",#24JUN17SAT,"by biki | 神田聡 | 直嶋岳史 | 0100011110001 | Cy Fan | Rockrototante | 高見澤優海 | 趙里奈 | Offbeat rats",http://vg.pe.hu/show/24JUN17SAT/,d,link
"2017.07.02",ヵ″｣ﾚ┐ィ~,"by KK manga | KeitaroTamura | seaketa | Le Makeup | woopheadclrms vs emeraldclitoris",http://vg.pe.hu/show/galfy/,c,link
"2017.08.12 - 08.20",怒羅権｜Dragon,"by Anne Öhrling Dersen ,Yoshihiko Idei, Ohiana, Jon Vaughn, Akina Tokiyoshi, Shingo Minamida | The　光",http://vg.pe.hu/show/dragon/,b, link
"2017.09.17",#17SEP17SUN,"by 足助 | Natalia Panzer | Sean Tatol | Shintaro Matsuo | Takamitsu Ohta",http://vg.pe.hu/show/17SEP17SUN/,d,link
"2017.09.23 - 10.9","LAGON JAPON","GOUFFRE　GROUP SHOW / BETTINA HENNI ALEXIS BEAUCLAIR EXHIBITION / L’INSTITUT SÉRIGRAPHIQUE SAMMY STEIN JEAN-PHILIPPE BRETIN EXHIBITION",http://revuelagon.com/japon,b, link
"2017.09.30 - 10.01","ART MARCHÉ / NUIT FRANCAISE","ART BOOK FAIR / MUSIC SHOW",http://vg.pe.hu/show/artmarche/,b, link
